34.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
01:19:42.510 (1510192112)|EXECUTION_STARTED
01:19:42.510 (1510230195)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
01:19:42.510 (1510274817)|CODE_UNIT_STARTED|[EXTERNAL]|01qZ00000009DjW|AllContractTriggers on Contract trigger event BeforeUpdate for [800Z00000003MJA]
01:19:42.510 (1510315616)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
01:19:42.510 (1510366325)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
01:19:42.521 (1521134310)|HEAP_ALLOCATE|[72]|Bytes:3
01:19:42.521 (1521207917)|HEAP_ALLOCATE|[77]|Bytes:152
01:19:42.521 (1521242663)|HEAP_ALLOCATE|[342]|Bytes:408
01:19:42.521 (1521271118)|HEAP_ALLOCATE|[355]|Bytes:408
01:19:42.521 (1521301787)|HEAP_ALLOCATE|[467]|Bytes:48
01:19:42.521 (1521350258)|HEAP_ALLOCATE|[139]|Bytes:6
01:19:42.521 (1521382698)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
01:19:42.521 (1521409697)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
01:19:42.521 (1521427868)|VARIABLE_SCOPE_BEGIN|[1]|this|AllContractTriggers|true|false
01:19:42.521 (1521464708)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x1b0b42e
01:19:42.521 (1521531390)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
01:19:42.521 (1521549729)|VARIABLE_SCOPE_BEGIN|[1]|this|AllContractTriggers|true|false
01:19:42.521 (1521576215)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x1b0b42e
01:19:42.521 (1521586892)|STATEMENT_EXECUTE|[1]
01:19:42.521 (1521592869)|STATEMENT_EXECUTE|[10]
01:19:42.521 (1521807793)|HEAP_ALLOCATE|[10]|Bytes:27
01:19:42.521 (1521834698)|HEAP_ALLOCATE|[50]|Bytes:5
01:19:42.521 (1521856431)|HEAP_ALLOCATE|[56]|Bytes:5
01:19:42.521 (1521872533)|HEAP_ALLOCATE|[64]|Bytes:7
01:19:42.521 (1521966587)|USER_DEBUG|[10]|DEBUG|AllContractTriggers - start
01:19:42.521 (1521988750)|STATEMENT_EXECUTE|[11]
01:19:42.522 (1522002629)|HEAP_ALLOCATE|[11]|Bytes:16
01:19:42.526 (1526073826)|HEAP_ALLOCATE|[11]|Bytes:5705
01:19:42.526 (1526126890)|HEAP_ALLOCATE|[11]|Bytes:5721
01:19:42.526 (1526169240)|USER_DEBUG|[11]|DEBUG|Trigger.newMap: {800Z00000003MJAIA2=Contract:{Id=800Z00000003MJAIA2, AccountId=001Z000000uoWXwIAM, OwnerExpirationNotice=null, StartDate=2011-11-12 00:00:00, EndDate=2014-11-19 00:00:00, BillingStreet=null, BillingCity=null, BillingState=null, BillingPostalCode=null, BillingCountry=United States, BillingStateCode=null, BillingCountryCode=US, BillingLatitude=null, BillingLongitude=null, BillingGeocodeAccuracy=null, ShippingStreet=null, ShippingCity=null, ShippingState=null, ShippingPostalCode=null, ShippingCountry=United States, ShippingStateCode=null, ShippingCountryCode=US, ShippingLatitude=null, ShippingLongitude=null, ShippingGeocodeAccuracy=null, ContractTerm=45, OwnerId=005Z0000003DoV8IAK, Status=Draft, CompanySignedId=null, CompanySignedDate=2015-10-10 00:00:00, CustomerSignedId=null, CustomerSignedTitle=Director, CustomerSignedDate=2016-10-12 00:00:00, SpecialTerms=null, ActivatedById=null, ActivatedDate=null, StatusCode=Draft, Description=Sec 2.01 - License to use the GE Mark upon and in connection with the manufacture, display, sale, marketing, advertising, promotion and distribution of Licensed Products sold by Licensee in the Licensed Channel of Distribution.  Said right to manufacture shall include the right to subcontract with Vendoes to have Licensed Products manufactured for sale to Licensee.  * Appendix B  Holiday Products Include - Holiday string sets, Halloween string sets, Party string sets, Replacement bulbs and fuses, Candle and tree toppers, Pre-lit trees, and Holiday decor.  Holiday Accessories include: green seasonable products such as indoor cords, outdoor cords, speciality cords, cord assortments, cord accessories, electrical taps, electrical adapters, power strips, surge protectors, flood holders, yardstakes,timers, lighting controls, nightlights, and touch lights., RecordTypeId=012Z00000000rdwIAA, Name=Siva Test Contract - Do not use, IsDeleted=false, ContractNumber=CN-00000260, LastApprovedDate=null, CreatedDate=2015-10-14 15:38:36, CreatedById=005Z0000003DoV8IAK, LastModifiedDate=2015-10-16 05:18:47, LastModifiedById=005Z0000003DoV8IAK, SystemModstamp=2015-10-16 05:18:47, LastActivityDate=null, LastViewedDate=null, LastReferencedDate=null, Audit_Rights__c=4.05 - Licensee shall keep accurate books of account and records coverin all transactions and Licensor or its designee shall have the right at all reasonable business hours upon 48 hours advanced notice to Licensee to make complete verifications, examinations and audits of said books of account and records and all other documents and material in the possession or under the control of Licensee relating to the Agreement and shall have free and full access thereto for said purpose and for the purpose of making extracts therefrom - these audits can be used to resolve claims relating to the agreement., Brand_Usage_Agreement__c=null, Contract_Terms__c=4.01 Minimum payments of $5 million in installments.  4.02 Royalty of 5% of net sales., GE_Business_Unit__c=null, Renewal_Date__c=null, Renewal_Terms__c=null, Rights__c=Sec 2.01 - License to use the GE Mark upon and in connection with the manufacture, display, sale, marketing, advertising, promotion and distribution of Licensed Products sold by Licensee in the Licensed Channel of Distribution.  Said right to manufacture shall include the right to subcontract with Vendoes to have Licensed Products manufactured for sale to Licensee.  * Appendix B  Holiday Products Include - Holiday string sets, Halloween string sets, Party string sets, Replacement bulbs and fuses, Candle and tree toppers, Pre-lit trees, and Holiday decor.  Holiday Accessories include: green seasonable products such as indoor cords, outdoor cords, speciality cords, cord assortments, cord accessories, electrical taps, electrical adapters, power strips, surge protectors, flood holders, yardstakes,timers, lighting controls, nightlights, and touch lights., Termination_Clause__c=Sec. 603 - In the event that a party material breaches an obligation under the Agreement and such breach is not remedied within 30 days after written notice from the other party specifying such breach, such other party shall have the right at any time thereafter to terminate the Agreement by giving written notice of termination to the breaching party. If either party becomes insolvent, executes an assignment for benefit of creditors, ceases operations, dissoles, or becomes subject to bankruptcy or receivership proceedings, the Agreement shall automatically terminate. 6.04  Licensor shall in addition have the right to terminate the Agreement immediately upon giving written notice to Licensee in the event that ay any time a product recall of any Licensed Product, Unique_Contract_Terms__c=null, AIF__c=84.0099, Agreement_Type__c=Trademark, Expiration_Countdown__c=-331, As_Of_Date__c=2015-10-16 00:00:00, Renewal_Countdown__c=null, CV_Company_Signed_By__c=null, CV_Customer_Signed_By__c=George Tsai, Referenced_Agreement__c=null, Royalty_Report_Due_Date__c=30 days after quarter ends, Payment_Due_Date__c=manually entered, CV_Inception_To_Date__c=null, CV_Planned_Royalty_Revenue__c=null, CV_Previous_YTD_Royalty_Payment__c=null, CV_Previous_Year_To_Date__c=null, CV_Variance_vs_Plan__c=null, CV_YTD_Royalty_Payment__c=null, CV_YTD_Variance__c=null, CV_Year_To_Date__c=null, Royalty_Payment_Due_Date_Rule__c=a2xZ0000002IjLdIAK, Sales_Report_Due_Date_Rule__c=a2xZ0000002IjLdIAK, Next_Royalty_Payment__c=null, Next_Sales_Report__c=null, Calculate_Next_Royalty_Payment__c=true, Calculate_Next_Sales_Report__c=false, Next_Royalty_Payment_Due_Date__c=null, Next_Sales_Report_Due_Date__c=null, Days_Until_Due_of_Next_Royalty_Payment__c=null, Days_Until_Due_of_next_Sales_Report__c=null}}
01:19:42.526 (1526218801)|STATEMENT_EXECUTE|[12]
01:19:42.526 (1526228543)|HEAP_ALLOCATE|[12]|Bytes:8
01:19:42.528 (1528381074)|VARIABLE_SCOPE_BEGIN|[14]|GE_TriggerDispatch.activefunction|GE_TriggerDispatch.ITriggerEntry|true|true
01:19:42.528 (1528400919)|VARIABLE_SCOPE_BEGIN|[17]|GE_TriggerDispatch.noTriggers|Boolean|false|true
01:19:42.528 (1528446505)|HEAP_ALLOCATE|[12]|Bytes:13
01:19:42.528 (1528460238)|HEAP_ALLOCATE|[12]|Bytes:5
01:19:42.528 (1528467286)|HEAP_ALLOCATE|[12]|Bytes:17
01:19:42.528 (1528498045)|METHOD_ENTRY|[11]|01pZ0000000LPwQ|GE_TriggerDispatch.GE_TriggerDispatch()
01:19:42.528 (1528508157)|STATEMENT_EXECUTE|[11]
01:19:42.539 (1539671112)|SYSTEM_MODE_ENTER|false
01:19:42.539 (1539710221)|HEAP_ALLOCATE|[14]|Bytes:5
01:19:42.539 (1539726540)|STATEMENT_EXECUTE|[11]
01:19:42.539 (1539732410)|STATEMENT_EXECUTE|[14]
01:19:42.539 (1539771864)|VARIABLE_ASSIGNMENT|[14]|GE_TriggerDispatch.activefunction|null|
01:19:42.539 (1539781470)|STATEMENT_EXECUTE|[17]
01:19:42.539 (1539795169)|HEAP_ALLOCATE|[17]|Bytes:5
01:19:42.539 (1539817590)|VARIABLE_ASSIGNMENT|[17]|GE_TriggerDispatch.noTriggers|false
01:19:42.539 (1539829324)|SYSTEM_MODE_EXIT|false
01:19:42.539 (1539851284)|METHOD_EXIT|[11]|GE_TriggerDispatch
01:19:42.539 (1539931465)|METHOD_ENTRY|[12]|01pZ0000000LPwQ|GE_TriggerDispatch.entry(String, Boolean, Boolean, Boolean, Boolean, Boolean, Boolean, List<SObject>, Map<Id,SObject>, List<SObject>, Map<Id,SObject>)
01:19:42.540 (1540002650)|VARIABLE_SCOPE_BEGIN|[26]|TriggerObject|String|false|false
01:19:42.540 (1540025286)|VARIABLE_ASSIGNMENT|[26]|TriggerObject|"Contract"
01:19:42.540 (1540035201)|HEAP_ALLOCATE|[27]|Bytes:5
01:19:42.540 (1540043722)|VARIABLE_SCOPE_BEGIN|[26]|IsBefore|Boolean|false|false
01:19:42.540 (1540056175)|VARIABLE_ASSIGNMENT|[26]|IsBefore|true
01:19:42.540 (1540063669)|HEAP_ALLOCATE|[27]|Bytes:5
01:19:42.540 (1540071128)|VARIABLE_SCOPE_BEGIN|[26]|IsDelete|Boolean|false|false
01:19:42.540 (1540082101)|VARIABLE_ASSIGNMENT|[26]|IsDelete|false
01:19:42.540 (1540089089)|HEAP_ALLOCATE|[27]|Bytes:5
01:19:42.540 (1540096076)|VARIABLE_SCOPE_BEGIN|[26]|IsAfter|Boolean|false|false
01:19:42.540 (1540107397)|VARIABLE_ASSIGNMENT|[26]|IsAfter|false
01:19:42.540 (1540114095)|HEAP_ALLOCATE|[27]|Bytes:5
01:19:42.540 (1540120964)|VARIABLE_SCOPE_BEGIN|[26]|IsInsert|Boolean|false|false
01:19:42.540 (1540131329)|VARIABLE_ASSIGNMENT|[26]|IsInsert|false
