34.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
00:57:59.399 (399991819)|EXECUTION_STARTED
00:57:59.400 (400037876)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
00:57:59.400 (400077937)|CODE_UNIT_STARTED|[EXTERNAL]|01qZ00000009DjW|AllContractTriggers on Contract trigger event BeforeUpdate for [800Z00000003MJA]
00:57:59.400 (400126224)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
00:57:59.400 (400172680)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
00:57:59.401 (401752414)|HEAP_ALLOCATE|[72]|Bytes:3
00:57:59.401 (401816928)|HEAP_ALLOCATE|[77]|Bytes:152
00:57:59.401 (401847488)|HEAP_ALLOCATE|[342]|Bytes:408
00:57:59.401 (401876653)|HEAP_ALLOCATE|[355]|Bytes:408
00:57:59.401 (401905092)|HEAP_ALLOCATE|[467]|Bytes:48
00:57:59.401 (401949090)|HEAP_ALLOCATE|[139]|Bytes:6
00:57:59.401 (401979526)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
00:57:59.402 (402009811)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
00:57:59.402 (402033714)|VARIABLE_SCOPE_BEGIN|[1]|this|AllContractTriggers|true|false
00:57:59.402 (402098527)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x3c3541c6
00:57:59.402 (402167344)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
00:57:59.402 (402185608)|VARIABLE_SCOPE_BEGIN|[1]|this|AllContractTriggers|true|false
00:57:59.402 (402217177)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x3c3541c6
00:57:59.402 (402230372)|STATEMENT_EXECUTE|[1]
00:57:59.402 (402236556)|STATEMENT_EXECUTE|[10]
00:57:59.402 (402470781)|HEAP_ALLOCATE|[10]|Bytes:27
00:57:59.402 (402514736)|HEAP_ALLOCATE|[50]|Bytes:5
00:57:59.402 (402552517)|HEAP_ALLOCATE|[56]|Bytes:5
00:57:59.402 (402578352)|HEAP_ALLOCATE|[64]|Bytes:7
00:57:59.402 (402705462)|USER_DEBUG|[10]|DEBUG|AllContractTriggers - start
00:57:59.402 (402740503)|STATEMENT_EXECUTE|[11]
00:57:59.402 (402761833)|HEAP_ALLOCATE|[11]|Bytes:16
00:57:59.408 (408138376)|HEAP_ALLOCATE|[11]|Bytes:5707
00:57:59.408 (408222396)|HEAP_ALLOCATE|[11]|Bytes:5723
