34.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
01:43:17.370 (370351901)|EXECUTION_STARTED
01:43:17.370 (370393178)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
01:43:17.370 (370429220)|CODE_UNIT_STARTED|[EXTERNAL]|01qZ00000009DjW|AllContractTriggers on Contract trigger event BeforeInsert for [new]
01:43:17.370 (370461938)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
01:43:17.371 (371028366)|HEAP_ALLOCATE|[72]|Bytes:3
01:43:17.371 (371099045)|HEAP_ALLOCATE|[77]|Bytes:152
01:43:17.371 (371118982)|HEAP_ALLOCATE|[342]|Bytes:408
01:43:17.371 (371143500)|HEAP_ALLOCATE|[355]|Bytes:408
01:43:17.371 (371167187)|HEAP_ALLOCATE|[467]|Bytes:48
01:43:17.371 (371197147)|HEAP_ALLOCATE|[139]|Bytes:6
01:43:17.371 (371222709)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
01:43:17.371 (371274921)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
01:43:17.371 (371287043)|VARIABLE_SCOPE_BEGIN|[1]|this|AllContractTriggers|true|false
01:43:17.371 (371339183)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x6ecff7f4
01:43:17.371 (371404697)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
01:43:17.371 (371419882)|VARIABLE_SCOPE_BEGIN|[1]|this|AllContractTriggers|true|false
01:43:17.371 (371447618)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x6ecff7f4
01:43:17.371 (371455835)|STATEMENT_EXECUTE|[1]
01:43:17.371 (371458728)|STATEMENT_EXECUTE|[10]
01:43:17.371 (371672558)|HEAP_ALLOCATE|[10]|Bytes:27
01:43:17.371 (371691757)|HEAP_ALLOCATE|[50]|Bytes:5
01:43:17.371 (371708776)|HEAP_ALLOCATE|[56]|Bytes:5
01:43:17.371 (371720391)|HEAP_ALLOCATE|[64]|Bytes:7
01:43:17.371 (371802715)|USER_DEBUG|[10]|DEBUG|AllContractTriggers - start
01:43:17.371 (371817845)|STATEMENT_EXECUTE|[11]
01:43:17.371 (371825924)|HEAP_ALLOCATE|[11]|Bytes:16
01:43:17.371 (371935120)|HEAP_ALLOCATE|[11]|Bytes:20
01:43:17.371 (371964406)|USER_DEBUG|[11]|DEBUG|Trigger.newMap: null
01:43:17.371 (371975565)|STATEMENT_EXECUTE|[12]
01:43:17.371 (371979849)|HEAP_ALLOCATE|[12]|Bytes:8
01:43:17.373 (373674868)|VARIABLE_SCOPE_BEGIN|[14]|GE_TriggerDispatch.activefunction|GE_TriggerDispatch.ITriggerEntry|true|true
01:43:17.373 (373687366)|VARIABLE_SCOPE_BEGIN|[17]|GE_TriggerDispatch.noTriggers|Boolean|false|true
01:43:17.373 (373731602)|HEAP_ALLOCATE|[12]|Bytes:13
01:43:17.373 (373739192)|HEAP_ALLOCATE|[12]|Bytes:5
01:43:17.373 (373743068)|HEAP_ALLOCATE|[12]|Bytes:17
01:43:17.373 (373768939)|METHOD_ENTRY|[11]|01pZ0000000LPwQ|GE_TriggerDispatch.GE_TriggerDispatch()
01:43:17.373 (373775313)|STATEMENT_EXECUTE|[11]
01:43:17.374 (374812412)|SYSTEM_MODE_ENTER|false
01:43:17.374 (374830553)|HEAP_ALLOCATE|[14]|Bytes:5
01:43:17.374 (374837700)|STATEMENT_EXECUTE|[11]
01:43:17.374 (374840297)|STATEMENT_EXECUTE|[14]
01:43:17.374 (374867774)|VARIABLE_ASSIGNMENT|[14]|GE_TriggerDispatch.activefunction|null|
01:43:17.374 (374873297)|STATEMENT_EXECUTE|[17]
01:43:17.374 (374883762)|HEAP_ALLOCATE|[17]|Bytes:5
01:43:17.374 (374900798)|VARIABLE_ASSIGNMENT|[17]|GE_TriggerDispatch.noTriggers|false
01:43:17.374 (374908406)|SYSTEM_MODE_EXIT|false
01:43:17.374 (374920051)|METHOD_EXIT|[11]|GE_TriggerDispatch
01:43:17.374 (374970703)|METHOD_ENTRY|[12]|01pZ0000000LPwQ|GE_TriggerDispatch.entry(String, Boolean, Boolean, Boolean, Boolean, Boolean, Boolean, List<SObject>, Map<Id,SObject>, List<SObject>, Map<Id,SObject>)
01:43:17.375 (375020237)|VARIABLE_SCOPE_BEGIN|[26]|TriggerObject|String|false|false
01:43:17.375 (375038161)|VARIABLE_ASSIGNMENT|[26]|TriggerObject|"Contract"
01:43:17.375 (375044081)|HEAP_ALLOCATE|[27]|Bytes:5
01:43:17.375 (375049284)|VARIABLE_SCOPE_BEGIN|[26]|IsBefore|Boolean|false|false
01:43:17.375 (375057195)|VARIABLE_ASSIGNMENT|[26]|IsBefore|true
01:43:17.375 (375061107)|HEAP_ALLOCATE|[27]|Bytes:5
01:43:17.375 (375064743)|VARIABLE_SCOPE_BEGIN|[26]|IsDelete|Boolean|false|false
01:43:17.375 (375071303)|VARIABLE_ASSIGNMENT|[26]|IsDelete|false
01:43:17.375 (375075021)|HEAP_ALLOCATE|[27]|Bytes:5
01:43:17.375 (375078766)|VARIABLE_SCOPE_BEGIN|[26]|IsAfter|Boolean|false|false
01:43:17.375 (375085385)|VARIABLE_ASSIGNMENT|[26]|IsAfter|false
01:43:17.375 (375088923)|HEAP_ALLOCATE|[27]|Bytes:5
01:43:17.375 (375092370)|VARIABLE_SCOPE_BEGIN|[26]|IsInsert|Boolean|false|false
01:43:17.375 (375098617)|VARIABLE_ASSIGNMENT|[26]|IsInsert|true
01:43:17.375 (375102142)|HEAP_ALLOCATE|[27]|Bytes:5
01:43:17.375 (375105559)|VARIABLE_SCOPE_BEGIN|[26]|IsUpdate|Boolean|false|false
01:43:17.375 (375111822)|VARIABLE_ASSIGNMENT|[26]|IsUpdate|false
01:43:17.375 (375115295)|HEAP_ALLOCATE|[27]|Bytes:5
01:43:17.375 (375118749)|VARIABLE_SCOPE_BEGIN|[26]|IsExecuting|Boolean|false|false
01:43:17.375 (375125455)|VARIABLE_ASSIGNMENT|[26]|IsExecuting|true
01:43:17.375 (375129733)|VARIABLE_SCOPE_BEGIN|[26]|newList|List<SObject>|true|false
01:43:17.378 (378412881)|VARIABLE_ASSIGNMENT|[26]|newList|{"s":1,"v":[{"CustomerSignedDate":"2016-10-12T00:00:00.000Z","Description":"Sec 2.01 - License t (841 more) ...","AccountId":"001Z000000uoWXwIAM","Agreement_Type__c":"Trademark","BillingCountryCode":"US","ContractTerm":45,"StatusCode":"Draft","Name":"Siva Test Contract - (11 more) ...","StartDate":"2011-11-12T00:00:00.000Z","Audit_Rights__c":"4.05 - Licensee shal (583 more) ...","Calculate_Next_Royal (13 more) ...":false,"OwnerId":"005Z0000003DoV8IAK","Rights__c":"Sec 2.01 - License t (841 more) ...","As_Of_Date__c":"2015-10-16T00:00:00.000Z","Sales_Report_Due_Dat (9 more) ...":"a2xZ0000002IjLdIAK","RecordTypeId":"012Z00000000rdwIAA","CustomerSignedTitle":"Director","Expiration_Countdown (3 more) ...":-331,"CV_Customer_Signed_B (4 more) ...":"George Tsai","Contract_Terms__c":"4.01 Minimum payment (66 more) ...","Status":"Draft","IsDeleted":false,"Termination_Clause__ (1 more) ...":"Sec. 603 - In the ev (750 more) ...","EndDate":"2014-11-19T00:00:00.000Z","Royalty_Payment_Due_ (12 more) ...":"a2xZ0000002IjLdIAK","ShippingCountryCode":"US","AIF__c":"84.0099","CompanySignedDate":"2015-10-10T00:00:00.000Z","Calculate_Next_Sales (10 more) ...":false}]}|0x74814de3
01:43:17.378 (378429341)|VARIABLE_SCOPE_BEGIN|[26]|newMap|Map<Id,SObject>|true|false
01:43:17.378 (378441548)|VARIABLE_ASSIGNMENT|[26]|newMap|null|
01:43:17.378 (378446549)|VARIABLE_SCOPE_BEGIN|[26]|oldList|List<SObject>|true|false
01:43:17.378 (378454040)|VARIABLE_ASSIGNMENT|[26]|oldList|null|
01:43:17.378 (378457886)|VARIABLE_SCOPE_BEGIN|[26]|oldMap|Map<Id,SObject>|true|false
01:43:17.378 (378464191)|VARIABLE_ASSIGNMENT|[26]|oldMap|null|
01:43:17.378 (378476829)|SYSTEM_MODE_ENTER|false
01:43:17.378 (378483293)|HEAP_ALLOCATE|[27]|Bytes:5
01:43:17.378 (378488664)|STATEMENT_EXECUTE|[26]
01:43:17.378 (378491190)|STATEMENT_EXECUTE|[27]
01:43:17.378 (378499315)|HEAP_ALLOCATE|[27]|Bytes:32
01:43:17.378 (378576117)|USER_DEBUG|[27]|DEBUG|GE_TriggerDispatch - entry start
01:43:17.378 (378590533)|STATEMENT_EXECUTE|[28]
01:43:17.378 (378598676)|HEAP_ALLOCATE|[28]|Bytes:16
01:43:17.378 (378677194)|HEAP_ALLOCATE|[28]|Bytes:20
01:43:17.378 (378709520)|USER_DEBUG|[28]|DEBUG|activefunction: null
01:43:17.378 (378721758)|STATEMENT_EXECUTE|[29]
01:43:17.378 (378729341)|HEAP_ALLOCATE|[29]|Bytes:12
01:43:17.378 (378786509)|HEAP_ALLOCATE|[29]|Bytes:5
01:43:17.378 (378811388)|HEAP_ALLOCATE|[29]|Bytes:17
01:43:17.378 (378838736)|USER_DEBUG|[29]|DEBUG|noTriggers: false
01:43:17.378 (378855575)|STATEMENT_EXECUTE|[31]
01:43:17.378 (378858596)|STATEMENT_EXECUTE|[38]
01:43:17.378 (378882163)|METHOD_ENTRY|[38]|01pZ0000000LPwQ|GE_TriggerDispatch.debugContext(String, Boolean, Boolean, Boolean, Boolean, Boolean)
01:43:17.378 (378921682)|VARIABLE_SCOPE_BEGIN|[69]|TriggerObject|String|false|false
01:43:17.378 (378935818)|VARIABLE_ASSIGNMENT|[69]|TriggerObject|"Contract"
01:43:17.378 (378942195)|HEAP_ALLOCATE|[72]|Bytes:5
